serviceName,Genre,isCustomizable,customizationOptions,price,time,description,Detail,View Detail
Water Leakage,Water Purifier,0,,249/-,30 min,"• Price includes visit & diagnosis charge only
• Spare part charges are extra as per rate card",,"Know more about RO Servicing
Ideal Duration
It is important to get your Water Purifier serviced regularly
every 3-4 months to ensure proper filteration
Need for Servicing
Regular Servicing ensures all filters and membane are working
properly & keeps your water free from impurities and foul
smell
Filter Replacement
It is advised to also get your filter replaced along with the
servicing, as contaminants from the water can clog filter pores
even in a short span
Increased Machine Life
Regular servicing helps elongate the life of certain key
components like Membrane & also of the overall Water
Purifier                                                                                            "
Low Water Flow ,Water Purifier,0,,249/-,30 min,"• Price includes visit & diagnosis charge only
• Spare part charges are extra as per rate card",,"Know more about RO Servicing
Ideal Duration
It is important to get your Water Purifier serviced regularly
every 3-4 months to ensure proper filteration
Need for Servicing
Regular Servicing ensures all filters and membane are working
properly & keeps your water free from impurities and foul
smell
Filter Replacement
It is advised to also get your filter replaced along with the
servicing, as contaminants from the water can clog filter pores
even in a short span
Increased Machine Life
Regular servicing helps elongate the life of certain key
components like Membrane & also of the overall Water
Purifier                                                                                            "
Foul Taste/Odour,Water Purifier,0,,249/-,30 min,"• Price includes visit & diagnosis charge only
• Spare part charges are extra as per rate card",,"Know more about RO Servicing
Ideal Duration
It is important to get your Water Purifier serviced regularly
every 3-4 months to ensure proper filteration
Need for Servicing
Regular Servicing ensures all filters and membane are working
properly & keeps your water free from impurities and foul
smell
Filter Replacement
It is advised to also get your filter replaced along with the
servicing, as contaminants from the water can clog filter pores
even in a short span
Increased Machine Life
Regular servicing helps elongate the life of certain key
components like Membrane & also of the overall Water
Purifier                                                                                            "
Installation,Water Purifier,0,,299/-,30 min,"• Price includes visit & diagnosis charge only
• Spare part charges are extra as per rate card",,"Know more about RO Servicing
Ideal Duration
It is important to get your Water Purifier serviced regularly
every 3-4 months to ensure proper filteration
Need for Servicing
Regular Servicing ensures all filters and membane are working
properly & keeps your water free from impurities and foul
smell
Filter Replacement
It is advised to also get your filter replaced along with the
servicing, as contaminants from the water can clog filter pores
even in a short span
Increased Machine Life
Regular servicing helps elongate the life of certain key
components like Membrane & also of the overall Water
Purifier                                                                                            "
Uninstallation,Water Purifier,0,,249/-,30 min,"• Price includes visit & diagnosis charge only
• Spare part charges are extra as per rate card",,"Know more about RO Servicing
Ideal Duration
It is important to get your Water Purifier serviced regularly
every 3-4 months to ensure proper filteration
Need for Servicing
Regular Servicing ensures all filters and membane are working
properly & keeps your water free from impurities and foul
smell
Filter Replacement
It is advised to also get your filter replaced along with the
servicing, as contaminants from the water can clog filter pores
even in a short span
Increased Machine Life
Regular servicing helps elongate the life of certain key
components like Membrane & also of the overall Water
Purifier                                                                                            "
Installation,Washing Machine Repair,1,"""Top Load (Fully automatic)"", ""Front Load (Fully Automatic)"", ""Semi-automatic""",399/-,30 min,Spare part rates applicable as per rate card,,"How it works                                                                                Washing machine checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care"
Uninstallation,Washing Machine Repair,1,"""Top Load (Fully automatic)"", ""Front Load (Fully Automatic)"", ""Semi-automatic""",399/-,30 min,Spare part rates applicable as per rate card,,"How it works                                                                                Washing machine checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care"
No Power,Washing Machine Repair,1,"""Top Load (Fully automatic)"", ""Front Load (Fully Automatic)"", ""Semi-automatic""",160/-,30 min,"• Price includes visit & diagnosis charge only
• Spare part charges are extra as per rate card",,"How it works                                                                                Washing machine checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care"
Noise Issue,Washing Machine Repair,1,"""Top Load (Fully automatic)"", ""Front Load (Fully Automatic)"", ""Semi-automatic""",160/-,30 min,"• Price includes visit & diagnosis charge only
• Spare part charges are extra as per rate card",,"How it works                                                                                Washing machine checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care"
Not Washing/Spining,Washing Machine Repair,1,"""Top Load (Fully automatic)"", ""Front Load (Fully Automatic)"", ""Semi-automatic""",160/-,30 min,"• Price includes visit & diagnosis charge only
• Spare part charges are extra as per rate card",,"How it works                                                                                Washing machine checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care"
Water Leakage from Drain,Washing Machine Repair,1,"""Top Load (Fully automatic)"", ""Front Load (Fully Automatic)"", ""Semi-automatic""",160/-,30 min,"• Price includes visit & diagnosis charge only
• Spare part charges are extra as per rate card",,"How it works                                                                                Washing machine checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care"
Error on Machine Display,Washing Machine Repair,1,"""Top Load (Fully automatic)"", ""Front Load (Fully Automatic)"", ""Semi-automatic""",160/-,30 min,"• Price includes visit & diagnosis charge only
• Spare part charges are extra as per rate card",,"How it works                                                                                Washing machine checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care"
Spin Tub Not working,Washing Machine Repair,0,,160/-,30 min,"• Price includes visit & diagnosis charge only
• Spare part charges are extra as per rate card",,"How it works                                                                                Washing machine checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care"
Water draining,Washing Machine Repair,1,"""Front Load (Fully Automatic)"", ""Semi-automatic""",160/-,30 min,"• Price includes visit & diagnosis charge only
• Spare part charges are extra as per rate card",,"How it works                                                                                Washing machine checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care"
